URL,Content Size,No of Outgoing Link,Content Type
https://nypost.com/2018/09/06/alleged-bike-path-terrorists-lawyers-use-trumps-tweets-in-defense/amp/,78648.0,72,text/html
https://nypost.com/2018/09/06/woman-suffers-from-black-hairy-tongue-after-car-accident/,286677.0,197,text/html
https://nypost.com/tag/go-to-greg/,156115.0,177,text/html
https://nypost.com/contact/,123114.0,157,text/html
https://nypost.com/horoscope/taurus-09-06-2018/,152438.0,174,text/html
https://nypost.com/video/13-year-old-girl-wakes-to-find-naked-intruder-in-her-bedroom/,206056.0,148,text/html
https://nypost.com/2018/09/05/bookies-place-odds-on-anonymous-white-house-official/,288253.0,190,text/html
https://nypost.com/author/kaja-whitehouse/,165527.0,177,text/html
https://nypost.com/2018/09/06/gardener-says-worlds-raunchiest-radish-is-too-small-for-his-wife/,297560.0,196,text/html
https://nypost.com/tag/justice-department/,157496.0,177,text/html
https://nypost.com/2018/09/06/pence-denies-writing-anonymous-new-york-times-op-ed-slamming-trump/,288708.0,196,text/html
https://nypost.com/sitemap/,152556.0,390,text/html
https://nypost.com/2018/08/23/tesla-insiders-say-its-a-s-tshow-under-beleaguered-elon-musk/,295934.0,211,text/html
https://nypost.com/2018/09/05/kendall-jenner-cindy-crawford-get-naked-for-new-book/,275217.0,193,text/html
https://nypost.com/2018/06/07/police-union-honors-first-responders-to-nyc-terror-attack/,289611.0,200,text/html
https://nypost.com/tag/nfl/,154634.0,177,text/html
https://nypost.com/2018/09/06/romance-novelist-killed-chef-husband-at-culinary-school-cops/,281391.0,197,text/html
https://nypost.com/2018/09/06/how-facebook-saved-tourists-lives-in-bali/,288452.0,197,text/html
https://nypost.com/2018/09/06/that-time-keith-hernandezs-ex-got-state-senate-hopeful-arrested/,292241.0,201,text/html
https://nypost.com/2018/09/06/trump-thanks-kim-for-unwavering-support/,282520.0,193,text/html
https://nypost.com/2018/09/06/melania-refused-to-go-on-tv-with-trump-after-access-hollywood-tape-woodward/,282293.0,195,text/html
https://nypost.com/horoscope/pisces-09-06-2018/,152379.0,174,text/html
https://nypost.com/columnists/,205550.0,231,text/html
https://nypost.com/2017/10/31/8-killed-truck-pedestrians-downtown-nyc-terror-attack/,328941.0,209,text/html
https://nypost.com/2018/09/02/why-you-could-get-fired-and-your-coworker-wouldnt-for-the-same-offense/amp/,75143.0,66,text/html
https://nypost.com/2018/09/04/justin-trudeau-finally-gets-the-trade-trouble-he-deserves/,291678.0,200,text/html
https://nypost.com/2018/09/06/icelands-digital-free-peninsula-trying-to-keep-it-that-way/,285898.0,194,text/html
https://nypost.com/horoscope/gemini-09-06-2018/,152373.0,174,text/html
https://nypost.com/author/reuters/,163356.0,176,text/html
https://nypost.com/2018/09/06/trucker-pals-who-met-at-work-discover-theyre-father-and-son/,286864.0,192,text/html
https://nypost.com/tag/at-work/,156097.0,177,text/html
https://nypost.com/news/,171019.0,175,text/html
https://nypost.com/horoscope/sagittarius-09-06-2018/,152579.0,174,text/html
https://nypost.com/2018/09/06/us-jobless-claims-fall-to-49-year-low/amp/,75556.0,66,text/html
https://nypost.com/2018/09/06/this-isnt-the-chris-berman-return-espn-had-envisioned/,284474.0,190,text/html
https://nypost.com/horoscope/libra-09-06-2018/,152333.0,174,text/html
https://nypost.com/horoscope/virgo-09-06-2018/,152337.0,174,text/html
https://nypost.com/tag/careers/,156520.0,177,text/html
https://nypost.com/tech/,167759.0,175,text/html
https://nypost.com/tag/twitter/,156689.0,177,text/html
https://nypost.com/opinion/,170359.0,173,text/html
https://nypost.com/2018/09/06/ford-recalls-two-million-f-150-pickups-over-seat-belt-issue/,283648.0,195,text/html
https://nypost.com/2018/09/06/what-would-it-take-to-trade-for-mike-trout-not-enough/,286849.0,189,text/html
https://nypost.com/2018/09/06/inside-putins-secret-spy-killing-commando-unit/,293537.0,209,text/html
https://nypost.com/2018/09/06/apple-exec-reportedly-fell-asleep-during-siri-meetings/,282854.0,196,text/html
https://nypost.com/2018/09/06/good-samaritan-rescues-woman-about-to-be-raped-in-brooklyn-alley/,284576.0,189,text/html
https://nypost.com/2018/09/06/nycha-supervisor-suspended-over-alleged-orgies/,285572.0,196,text/html
https://nypost.com/2018/09/06/cynthia-nixon-talks-trump-cuomo-during-late-night-appearance/,284506.0,192,text/html
https://nypost.com/home-delivery/,122763.0,158,text/html
https://nypost.com/2018/09/06/damage-after-big-earthquake-hits-japan/slide-1/,181491.0,153,text/html
https://nypost.com/2018/09/03/evidence-tesla-may-be-struggling-to-meet-production-goals/,298904.0,198,text/html
https://nypost.com/cover/covers-for-september-3-2018/,135295.0,151,text/html
https://nypost.com/video/safari-still-letting-lions-into-cars-weeks-after-woman-was-attacked/,206270.0,148,text/html
https://nypost.com/photos/,160539.0,172,text/html
https://nypost.com/tag/nike/,156372.0,177,text/html
https://nypost.com/2018/09/06/the-nun-star-barely-made-it-through-her-own-screening/,281815.0,191,text/html
https://nypost.com/tag/colin-kaepernick/,157093.0,177,text/html
https://nypost.com/video/little-girl-with-rapid-aging-disease-is-an-internet-superstar/,205952.0,148,text/html
https://nypost.com/2018/09/06/man-arrested-after-estranged-wifes-parents-found-beaten-to-death-cops/,280317.0,191,text/html
https://nypost.com/video/,159967.0,172,text/html
https://nypost.com/cover/covers-for-september-6-2018/,135007.0,150,text/html
